family,p_value,rank_biserial,ci_low,ci_high,variance_test_p,larger_var_group,WF_n,WF_mean,WF_std,WF_iqr,WF_min,WF_q10,WF_median,WF_q90,WF_max,AF_n,AF_mean,AF_std,AF_iqr,AF_min,AF_q10,AF_median,AF_q90,AF_max
chrbb,3.772373114750231e-05,-0.3501623376623376,-0.4567532467532468,-0.23477191558441562,0.04836064002915798,AF,50,0.7424749679178975,0.10407945390328963,0.15969234040714975,0.5122993058813774,0.6122502553832414,0.7405244232319338,0.8500760657349771,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
glutamineII,1.127558900810441e-07,-0.4507467532467533,-0.549676948051948,-0.34363636363636363,0.2515150388030004,AF,50,0.687669376420531,0.13697073092874631,0.1810755632001838,0.2612565779736324,0.49258144462576336,0.7165710566407018,0.83058562668035,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
drum,5.392321519507408e-30,0.9667207792207793,0.9268831168831169,0.9932475649350648,4.352878727552181e-06,AF,50,0.9605489447771214,0.01916531641632482,0.01655596166471629,0.88232032508741,0.9396352135106714,0.964822606727643,0.9764230165251515,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
gp20b,8.943985285076215e-07,-0.4175,-0.5123376623376623,-0.3147386363636365,0.015883087407542986,AF,50,0.7155364612094164,0.10117068975800263,0.09241544945998381,0.4312096460389117,0.5851783817803191,0.7315277680168182,0.7920451943786859,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
int-alpA,1.9015722911127227e-05,-0.3633441558441558,-0.46643019480519476,-0.25210957792207794,0.09316259220640843,AF,50,0.7322668620344105,0.11920463843060772,0.14438434305129055,0.3172096999329212,0.5933216014188295,0.7556091597591514,0.8506459255878791,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
nhaaI,0.0001290432989202486,-0.3252922077922078,-0.43766233766233764,-0.20668668831168846,0.12125747080382039,AF,50,0.7417670655259903,0.11976602559992425,0.1465661252788346,0.4464392555002665,0.5647063953710864,0.7740670782505699,0.8572562964121029,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
photorcII,1.214505991189725e-09,0.5164610389610389,0.3914269480519481,0.6385730519480518,0.00010835231734653265,AF,50,0.9013867494568286,0.04189303997714948,0.04823869910319911,0.7914434228195965,0.8400658088130126,0.9126970196669484,0.9434952405218102,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
radC,8.768437728805126e-32,0.9967857142857144,0.9902597402597402,1.0,5.552659685502055e-07,AF,50,0.9975608793806292,0.0026791208845938297,0.0009554606886547079,0.9856166327772888,0.9969116007000635,0.9982044958285179,0.9989803627235143,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
ragath,0.017028966791176364,-0.2027597402597403,-0.3139293831168831,-0.08623376623376622,0.004995816114958989,AF,50,0.796650248285077,0.0764736574400156,0.10737907895576337,0.6321618367943944,0.6959943785561297,0.8162512384706465,0.8676707814184721,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
rhodo-rpoB,0.023445906730765704,0.192564935064935,0.07766233766233777,0.30558603896103886,8.881999825045992e-05,AF,50,0.8718802735964251,0.04288711274620616,0.040007266370901906,0.7523288027502869,0.8295493335010327,0.8733184657746145,0.9104370481553381,1.0,616,0.7648768705935728,0.21100384801364505,0.19801099518453424,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.9205275640011619,1.0
