         8125389475 function calls (8125389363 primitive calls) in 49031.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4902/4901    0.093    0.000 98360.810   20.070 threading.py:637(wait)
4902/4901   28.528    0.006 48970.581    9.992 threading.py:323(wait)
19608/19602 1559.841    0.080 47376.089    2.417 {method 'acquire' of '_thread.lock' objects}
963692274 46166.549    0.000 46166.549    0.000 {method 'pop' of 'list' objects}
      616  294.766    0.479 1087.229    1.765 cosine_distribution.py:165(optimized_fingerprint)
      616  166.959    0.271  311.672    0.506 cosine_distribution.py:241(counts_vector)
1928380740  227.690    0.000  227.690    0.000 {method 'append' of 'list' objects}
1927275188  182.947    0.000  182.947    0.000 {method 'strip' of 'str' objects}
1927540029/1927540026  151.519    0.000  151.519    0.000 {built-in method builtins.len}
964991308   87.962    0.000   87.962    0.000 cosine_distribution.py:69(relation)
135760323   42.624    0.000   58.200    0.000 digraph.py:901(successors)
135761555   56.214    0.000   56.215    0.000 {built-in method builtins.sorted}
   143998   20.227    0.000   20.227    0.000 {method 'split' of 'str' objects}
135760939   15.576    0.000   15.576    0.000 {built-in method builtins.iter}
    33551   14.205    0.000   14.205    0.000 {method 'join' of 'str' objects}
     1848    9.320    0.005    9.320    0.005 {built-in method gc.collect}
      838    0.044    0.000    3.431    0.004 cosine_distribution.py:9(get_data)
      838    3.275    0.004    3.281    0.004 {method 'read' of '_io.TextIOWrapper' objects}
      616    0.238    0.000    1.689    0.003 cosine_distribution.py:97(build_directed_graph_from_dict)
   961033    0.907    0.000    1.405    0.000 digraph.py:666(add_edge)
      2/1    0.000    0.000    1.194    1.194 cosine_distribution.py:289(main)
      616    0.322    0.001    0.540    0.001 cosine_distribution.py:81(pgraph)
  1000024    0.165    0.000    0.251    0.000 misc.py:595(_clear_cache)
     9800    0.029    0.000    0.240    0.000 _monitor.py:47(get_instances)
      497    0.002    0.000    0.226    0.000 std.py:1325(refresh)
      498    0.001    0.000    0.221    0.000 std.py:1464(display)
     9800    0.013    0.000    0.168    0.000 _weakrefset.py:95(copy)
      616    0.057    0.000    0.167    0.000 cosine_distribution.py:34(palindromes)
     9801    0.029    0.000    0.154    0.000 _weakrefset.py:37(__init__)
      498    0.001    0.000    0.145    0.000 std.py:457(print_status)
  1000531    0.143    0.000    0.143    0.000 {method 'update' of 'dict' objects}
     1454    0.004    0.000    0.135    0.000 std.py:1160(__iter__)
      461    0.004    0.000    0.129    0.000 std.py:1198(update)
     9800    0.020    0.000    0.126    0.000 _weakrefset.py:120(update)
      498    0.001    0.000    0.123    0.000 std.py:451(fp_write)
    39203    0.043    0.000    0.122    0.000 _weakrefset.py:63(__iter__)
      998    0.001    0.000    0.122    0.000 utils.py:194(inner)
   961701    0.121    0.000    0.121    0.000 {method 'get' of 'dict' objects}
      500    0.033    0.000    0.121    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    76750    0.031    0.000    0.091    0.000 __init__.py:179(sub)
  1000272    0.086    0.000    0.086    0.000 {built-in method builtins.getattr}
      498    0.002    0.000    0.073    0.000 std.py:1150(__str__)
      498    0.016    0.000    0.068    0.000 std.py:464(format_meter)
     1494    0.001    0.000    0.056    0.000 utils.py:378(disp_len)
    19602    0.017    0.000    0.056    0.000 _weakrefset.py:27(__exit__)
     1494    0.002    0.000    0.053    0.000 utils.py:374(_text_width)
     1494    0.013    0.000    0.051    0.000 {built-in method builtins.sum}
    38375    0.024    0.000    0.039    0.000 digraph.py:439(add_node)
      839    0.038    0.000    0.039    0.000 {built-in method _io.open}
    76856    0.026    0.000    0.038    0.000 __init__.py:280(_compile)
   142772    0.025    0.000    0.038    0.000 utils.py:375(<genexpr>)
      616    0.003    0.000    0.038    0.000 digraph.py:1206(clear)
     2464    0.034    0.000    0.034    0.000 {method 'clear' of 'dict' objects}
      617    0.034    0.000    0.034    0.000 {method 'writerow' of '_csv.writer' objects}
    19602    0.022    0.000    0.033    0.000 _weakrefset.py:53(_commit_removals)
     4904    0.006    0.000    0.029    0.000 std.py:110(__enter__)
     5366    0.016    0.000    0.026    0.000 std.py:102(acquire)
    78244    0.024    0.000    0.024    0.000 {method 'sub' of 're.Pattern' objects}
     9802    0.007    0.000    0.023    0.000 _weakrefset.py:85(add)
      498    0.001    0.000    0.023    0.000 utils.py:386(disp_trim)
    29404    0.014    0.000    0.022    0.000 {method 'add' of 'set' objects}
     4904    0.004    0.000    0.021    0.000 std.py:113(__exit__)
      616    0.015    0.000    0.019    0.000 cosine_distribution.py:203(extract_length)
     5366    0.015    0.000    0.019    0.000 std.py:106(release)
     4901    0.005    0.000    0.017    0.000 std.py:760(get_lock)
    19602    0.012    0.000    0.017    0.000 _weakrefset.py:21(__enter__)
     4901    0.007    0.000    0.016    0.000 threading.py:311(_acquire_restore)
      616    0.010    0.000    0.014    0.000 cosine_distribution.py:191(extract_first_elements)
    78877    0.013    0.000    0.013    0.000 {built-in method builtins.isinstance}
   141278    0.013    0.000    0.013    0.000 {built-in method unicodedata.east_asian_width}
      838    0.011    0.000    0.011    0.000 {method 'splitlines' of 'str' objects}
    15875    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
     4902    0.005    0.000    0.009    0.000 threading.py:302(__exit__)
     9802    0.004    0.000    0.008    0.000 std.py:1157(__hash__)
      222    0.008    0.000    0.008    0.000 {built-in method builtins.print}
     16/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
     16/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        1    0.000    0.000    0.007    0.007 std.py:90(__init__)
        1    0.000    0.000    0.007    0.007 std.py:116(create_mp_lock)
     15/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
     10/2    0.000    0.000    0.007    0.003 <frozen importlib._bootstrap_external>:989(exec_module)
     41/7    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    19602    0.007    0.000    0.007    0.000 _weakrefset.py:17(__init__)
     10/2    0.000    0.000    0.006    0.003 {built-in method builtins.exec}
      849    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
