,Token,Index
0,I,0
1,O,1
2,S,2
3,II,3
4,IO,4
5,IS,5
6,OI,6
7,OO,7
8,OS,8
9,SI,9
10,SO,10
11,SS,11
12,III,12
13,IIO,13
14,IIS,14
15,IOI,15
16,IOO,16
17,IOS,17
18,ISI,18
19,ISO,19
20,ISS,20
21,OII,21
22,OIO,22
23,OIS,23
24,OOI,24
25,OOO,25
26,OOS,26
27,OSI,27
28,OSO,28
29,OSS,29
30,SII,30
31,SIO,31
32,SIS,32
33,SOI,33
34,SOO,34
35,SOS,35
36,SSI,36
37,SSO,37
38,SSS,38
39,IIII,39
40,IIIO,40
41,IIIS,41
42,IIOI,42
43,IIOO,43
44,IIOS,44
45,IISI,45
46,IISO,46
47,IISS,47
48,IOII,48
49,IOIO,49
50,IOIS,50
51,IOOI,51
52,IOOO,52
53,IOOS,53
54,IOSI,54
55,IOSO,55
56,IOSS,56
57,ISII,57
58,ISIO,58
59,ISIS,59
60,ISOI,60
61,ISOO,61
62,ISOS,62
63,ISSI,63
64,ISSO,64
65,ISSS,65
66,OIII,66
67,OIIO,67
68,OIIS,68
69,OIOI,69
70,OIOO,70
71,OIOS,71
72,OISI,72
73,OISO,73
74,OISS,74
75,OOII,75
76,OOIO,76
77,OOIS,77
78,OOOI,78
79,OOOO,79
80,OOOS,80
81,OOSI,81
82,OOSO,82
83,OOSS,83
84,OSII,84
85,OSIO,85
86,OSIS,86
87,OSOI,87
88,OSOO,88
89,OSOS,89
90,OSSI,90
91,OSSO,91
92,OSSS,92
93,SIII,93
94,SIIO,94
95,SIIS,95
96,SIOI,96
97,SIOO,97
98,SIOS,98
99,SISI,99
100,SISO,100
101,SISS,101
102,SOII,102
103,SOIO,103
104,SOIS,104
105,SOOI,105
106,SOOO,106
107,SOOS,107
108,SOSI,108
109,SOSO,109
110,SOSS,110
111,SSII,111
112,SSIO,112
113,SSIS,113
114,SSOI,114
115,SSOO,115
116,SSOS,116
117,SSSI,117
118,SSSO,118
119,SSSS,119
120,IIIII,120
121,IIIIO,121
122,IIIIS,122
123,IIIOI,123
124,IIIOO,124
125,IIIOS,125
126,IIISI,126
127,IIISO,127
128,IIISS,128
129,IIOII,129
130,IIOIO,130
131,IIOIS,131
132,IIOOI,132
133,IIOOO,133
134,IIOOS,134
135,IIOSI,135
136,IIOSO,136
137,IIOSS,137
138,IISII,138
139,IISIO,139
140,IISIS,140
141,IISOI,141
142,IISOO,142
143,IISOS,143
144,IISSI,144
145,IISSO,145
146,IISSS,146
147,IOIII,147
148,IOIIO,148
149,IOIIS,149
150,IOIOI,150
151,IOIOO,151
152,IOIOS,152
153,IOISI,153
154,IOISO,154
155,IOISS,155
156,IOOII,156
157,IOOIO,157
158,IOOIS,158
159,IOOOI,159
160,IOOOO,160
161,IOOOS,161
162,IOOSI,162
163,IOOSO,163
164,IOOSS,164
165,IOSII,165
166,IOSIO,166
167,IOSIS,167
168,IOSOI,168
169,IOSOO,169
170,IOSOS,170
171,IOSSI,171
172,IOSSO,172
173,IOSSS,173
174,ISIII,174
175,ISIIO,175
176,ISIIS,176
177,ISIOI,177
