family,p_value,rank_biserial,ci_low,ci_high,variance_test_p,larger_var_group,WF_n,WF_mean,WF_std,WF_iqr,WF_min,WF_q10,WF_median,WF_q90,WF_max,AF_n,AF_mean,AF_std,AF_iqr,AF_min,AF_q10,AF_median,AF_q90,AF_max,p_value_fdr,variance_test_p_fdr,p_value_significant,variance_significant
chrbb,3.772373114750231e-05,-0.3501623376623376,-0.4567532467532468,-0.2347719155844156,0.0483606400291579,AF,50,0.7424749679178975,0.1040794539032896,0.1596923404071497,0.5122993058813774,0.6122502553832414,0.7405244232319338,0.8500760657349771,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,5.3891044496431865e-05,0.06908662861308272,True,False
glutamineII,1.127558900810441e-07,-0.4507467532467533,-0.549676948051948,-0.3436363636363636,0.2515150388030004,AF,50,0.687669376420531,0.1369707309287463,0.1810755632001838,0.2612565779736324,0.4925814446257633,0.7165710566407018,0.83058562668035,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,2.818897252026103e-07,0.2515150388030004,True,False
drum,5.392321519507408e-30,0.9667207792207791,0.9268831168831168,0.9932475649350648,4.352878727552181e-06,AF,50,0.9605489447771214,0.0191653164163248,0.0165559616647162,0.88232032508741,0.9396352135106714,0.964822606727643,0.9764230165251516,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,2.6961607597537044e-29,2.1764393637760903e-05,True,True
gp20b,8.943985285076215e-07,-0.4175,-0.5123376623376623,-0.3147386363636365,0.0158830874075429,AF,50,0.7155364612094164,0.1011706897580026,0.0924154494599838,0.4312096460389117,0.5851783817803191,0.7315277680168182,0.7920451943786859,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,1.788797057015243e-06,0.026471812345904833,True,True
int-alpA,1.9015722911127227e-05,-0.3633441558441558,-0.4664301948051947,-0.2521095779220779,0.0931625922064084,AF,50,0.7322668620344105,0.1192046384306077,0.1443843430512905,0.3172096999329212,0.5933216014188295,0.7556091597591514,0.8506459255878791,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,3.1692871518545375e-05,0.11645324025801052,True,False
nhaaI,0.0001290432989202,-0.3252922077922078,-0.4376623376623376,-0.2066866883116884,0.1212574708038203,AF,50,0.7417670655259903,0.1197660255999242,0.1465661252788346,0.4464392555002665,0.5647063953710864,0.7740670782505699,0.8572562964121029,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,0.00016130412365025,0.13473052311535588,True,False
photorcII,1.214505991189725e-09,0.5164610389610389,0.3914269480519481,0.6385730519480518,0.0001083523173465,AF,50,0.9013867494568286,0.0418930399771494,0.0482386991031991,0.7914434228195965,0.8400658088130126,0.9126970196669484,0.9434952405218102,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,4.0483533039657506e-09,0.00027088079336625,True,True
radC,8.768437728805126e-32,0.9967857142857144,0.9902597402597402,1.0,5.552659685502055e-07,AF,50,0.9975608793806292,0.0026791208845938,0.0009554606886547,0.9856166327772888,0.9969116007000636,0.998204495828518,0.9989803627235144,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,8.768437728805125e-31,5.552659685502055e-06,True,True
ragath,0.0170289667911763,-0.2027597402597403,-0.3139293831168831,-0.0862337662337662,0.0049958161149589,AF,50,0.796650248285077,0.0764736574400156,0.1073790789557633,0.6321618367943944,0.6959943785561297,0.8162512384706465,0.8676707814184721,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,0.01892107421241811,0.0099916322299178,True,True
rhodo-rpoB,0.0234459067307657,0.192564935064935,0.0776623376623377,0.3055860389610388,8.881999825045992e-05,AF,50,0.8718802735964251,0.0428871127462061,0.0400072663709019,0.7523288027502869,0.8295493335010327,0.8733184657746145,0.910437048155338,1.0,616,0.7648768705935728,0.211003848013645,0.1980109951845342,0.0013486097736396,0.4075297848443854,0.8642325420752529,0.920527564001162,1.0,0.0234459067307657,0.00027088079336625,True,True
