seq1,seq2,similarity
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,1.0
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",0.8266205218022535
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",0.885615271327903
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KJ019136.1:157499-157594 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome FORWARD",0.823751212305936
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"GU071094.1:163608-163699 Synechococcus phage S-SM1, complete genome FORWARD",0.9221552495095771
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KU686201.1:180677-180772 Synechococcus phage S-CAM4 isolate 0809SB33, complete genome FORWARD",0.9212435319914267
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"GU071097.1:164585-164681 Synechococcus phage S-SSM5, complete genome FORWARD",0.9390320007215868
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"OQ319121.1:c49325-49228 Synechococcus phage S-BM3, complete genome FORWARD",0.835847765809339
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,MH512890.1:168371-168467 Cyanophage S-TIM4 FORWARD,0.8363625790207913
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KU686206.1:160385-160480 Synechococcus phage S-CAM9 isolate 1109NB16, complete genome FORWARD",0.8795418148836354
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MK799832.1:176018-176111 Synechococcus phage S-B05, complete genome FORWARD",0.9074982384484196
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MW147367.1:121035-121131 Synechococcus phage S-H9-2, complete genome FORWARD",0.8983346055764997
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"JQ245707.2:8125-8221 Cyanophage S-TIM5, complete genome FORWARD",0.9474352602148051
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"OQ504980.1:125927-126021 Synechococcus phage S-MS29, complete genome FORWARD",0.9515221401077593
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"OQ504982.1:c63606-63510 Synechococcus phage S-8S53, partial genome FORWARD",0.7997419224950174
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MF351863.1:195680-195775 Synechococcus phage Bellamy, complete genome FORWARD",0.776424753520945
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"GU071096.1:167689-167782 Synechococcus phage S-ShM2, complete genome FORWARD",0.8782260650559109
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MW117965.1:14235-14331 Synechococcus phage S-H38, complete genome FORWARD",0.7763135338879105
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"GU071106.1:166909-167003 Synechococcus phage Syn19, complete genome FORWARD",0.9215315442676993
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,HQ317383.1:150656-150750 Synechococcus phage S-IOM18 genomic sequence FORWARD,0.907083562788586
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"JN371769.1:162313-162408 Synechococcus phage metaG-MbCM1, complete genome FORWARD",0.6517316513524493
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MW015081.1:207241-207338 Synechococcus phage S-SRM01, complete genome FORWARD",0.8221571417083549
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"OP053362.1:7937-8033 Cyanophage S-TIM54, complete genome FORWARD",0.8382815683170616
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"HQ634178.1:157403-157496 Synechococcus phage S-CAM8 strain S-CAM8 06008BI06, complete genome FORWARD",0.8862388964199884
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KU594606.1:183014-183111 Cyanophage S-RIM32 isolate RW_108_0702, complete genome FORWARD",0.8250407207786024
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"GU071095.1:179573-179668 Synechococcus phage S-SM2, complete genome FORWARD",0.7767334031372695
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KM359505.1:189481-189576 Prochlorococcus phage P-TIM68, complete genome FORWARD",0.9068201287932536
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KJ019054.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C85, complete genome FORWARD",0.903322570710344
