seq_name,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7,bit_8,bit_9,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,bit_21,bit_22,bit_23,bit_24,bit_25,bit_26,bit_27,bit_28,bit_29,bit_30,bit_31,bit_32,bit_33,bit_34,bit_35,bit_36,bit_37,bit_38,bit_39,bit_40,bit_41,bit_42,bit_43,bit_44,bit_45,bit_46,bit_47,bit_48,bit_49,bit_50,bit_51,bit_52,bit_53,bit_54,bit_55,bit_56,bit_57,bit_58,bit_59,bit_60,bit_61,bit_62,bit_63,bit_64,bit_65,bit_66,bit_67,bit_68,bit_69,bit_70,bit_71,bit_72,bit_73,bit_74,bit_75,bit_76,bit_77,bit_78,bit_79,bit_80,bit_81,bit_82,bit_83,bit_84,bit_85,bit_86,bit_87,bit_88,bit_89,bit_90,bit_91,bit_92,bit_93,bit_94,bit_95,bit_96,bit_97,bit_98,bit_99,bit_100,bit_101,bit_102,bit_103,bit_104,bit_105,bit_106,bit_107,bit_108,bit_109,bit_110,bit_111,bit_112,bit_113,bit_114,bit_115,bit_116,bit_117,bit_118,bit_119,bit_120,bit_121,bit_122,bit_123,bit_124,bit_125,bit_126,bit_127,bit_128,bit_129,bit_130,bit_131,bit_132,bit_133,bit_134,bit_135,bit_136,bit_137,bit_138,bit_139,bit_140,bit_141,bit_142,bit_143,bit_144,bit_145,bit_146,bit_147,bit_148,bit_149,bit_150,bit_151,bit_152,bit_153,bit_154,bit_155,bit_156,bit_157,bit_158,bit_159,bit_160,bit_161,bit_162,bit_163,bit_164,bit_165,bit_166,bit_167,bit_168,bit_169,bit_170,bit_171,bit_172,bit_173,bit_174,bit_175,bit_176,bit_177,bit_178,bit_179,bit_180,bit_181,bit_182,bit_183,bit_184,bit_185,bit_186,bit_187,bit_188,bit_189,bit_190,bit_191,bit_192,bit_193,bit_194,bit_195,bit_196,bit_197,bit_198,bit_199,bit_200,bit_201,bit_202,bit_203,bit_204,bit_205,bit_206,bit_207,bit_208,bit_209,bit_210,bit_211,bit_212,bit_213,bit_214,bit_215,bit_216,bit_217,bit_218,bit_219,bit_220,bit_221,bit_222,bit_223,bit_224,bit_225,bit_226,bit_227,bit_228,bit_229,bit_230,bit_231,bit_232,bit_233,bit_234,bit_235,bit_236,bit_237,bit_238,bit_239,bit_240,bit_241,bit_242,bit_243,bit_244,bit_245,bit_246,bit_247,bit_248,bit_249,bit_250,bit_251,bit_252,bit_253,bit_254,bit_255,bit_256,bit_257,bit_258,bit_259,bit_260,bit_261,bit_262,bit_263,bit_264,bit_265,bit_266,bit_267,bit_268,bit_269,bit_270,bit_271,bit_272,bit_273,bit_274,bit_275,bit_276,bit_277,bit_278,bit_279,bit_280,bit_281,bit_282,bit_283,bit_284,bit_285,bit_286,bit_287,bit_288,bit_289,bit_290,bit_291,bit_292,bit_293,bit_294,bit_295,bit_296,bit_297,bit_298,bit_299,bit_300,bit_301,bit_302,bit_303,bit_304,bit_305,bit_306,bit_307,bit_308,bit_309,bit_310,bit_311,bit_312,bit_313,bit_314,bit_315,bit_316,bit_317,bit_318,bit_319,bit_320,bit_321,bit_322,bit_323,bit_324,bit_325,bit_326,bit_327,bit_328,bit_329,bit_330,bit_331,bit_332,bit_333,bit_334,bit_335,bit_336,bit_337,bit_338,bit_339,bit_340,bit_341,bit_342,bit_343,bit_344,bit_345,bit_346,bit_347,bit_348,bit_349,bit_350,bit_351,bit_352,bit_353,bit_354,bit_355,bit_356,bit_357,bit_358,bit_359,bit_360,bit_361,bit_362,bit_363,bit_364,bit_365,bit_366,bit_367,bit_368,bit_369,bit_370,bit_371,bit_372,bit_373,bit_374,bit_375,bit_376,bit_377,bit_378,bit_379,bit_380,bit_381,bit_382,bit_383,bit_384,bit_385,bit_386,bit_387,bit_388,bit_389,bit_390,bit_391
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD",9,7,3,4,1,4,3,1,3,0,8,3,0,0,0,0,3,5,1,3,13,4,6,2,4,3,2,0,0,33,454,0,0,0,0,40,91,0,562,573,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,116,148,0,0,0,0,626,62,0,347,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,0,0,0,0,156,16,0,101,8,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"AACY023924099.1:c993-941 Marine metagenome ctg_1101668731450, whole genome shotgun sequence FORWARD",12,5,3,7,4,2,2,3,0,2,2,0,0,0,0,0,0,0,1,7,11,2,6,3,4,6,1,1,0,69,386,0,0,0,0,172,380,0,538,320,0,0,0,0,0,0,0,0,0,0,0,0,0,307,305,0,551,227,0,0,0,0,1007,93,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,128,0,363,69,0,0,0,0,920,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"AANO01000069.1:694-756 Synechococcus sp. WH 5701 1099465003518, whole genome shotgun sequence FORWARD",10,6,5,5,4,3,4,2,2,2,7,1,0,0,0,0,1,2,6,9,9,2,7,5,4,1,4,1,0,73,638,0,0,0,0,160,740,0,924,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,217,1025,0,1230,1184,0,0,0,0,2104,348,0,902,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,90,0,1770,985,0,0,0,0,3138,552,0,543,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3253,126,0,0,0,0,0,0,0,1335,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"AACY023938474.1:1158-1220 Marine metagenome ctg_1101668745825, whole genome shotgun sequence FORWARD",13,6,8,2,3,3,3,1,1,1,5,5,0,0,0,0,0,0,0,3,8,6,5,9,9,1,6,4,0,57,612,0,0,0,0,86,821,0,648,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1332,0,806,2986,0,0,0,0,428,518,0,2471,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,758,0,1438,4299,0,0,0,0,532,924,0,3992,11,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,893,11,0,0,0,0,1566,44,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"CP000111.1:c1396332-1396270 Prochlorococcus marinus str. MIT 9312, complete genome FORWARD",11,6,7,3,3,4,4,1,2,2,6,2,1,0,0,0,0,0,1,4,18,5,8,8,3,4,1,0,0,42,653,0,0,0,0,62,390,0,686,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,54,375,0,405,1041,0,0,0,0,1083,159,0,741,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,405,915,0,0,0,0,705,135,0,576,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,0,0,0,0,0,0,0,632,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"CP000095.2:c1035098-1035036 Prochlorococcus marinus str. NATL2A, complete genome FORWARD",14,5,9,3,7,2,3,1,1,1,5,0,0,0,0,0,0,2,3,3,8,6,7,5,8,6,1,2,0,126,677,0,0,0,0,386,1736,0,1357,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,507,4531,0,3794,5317,0,0,0,0,3762,771,0,2898,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,3855,0,10526,11006,0,0,0,0,11616,2695,0,7675,544,0,0,0,0,0,0,0,0,0,0,0,0,0,5424,0,0,648,0,0,0,0,0,3958,94,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BX548175.1:1082118-1082175 Prochlorococcus marinus MIT9313 complete genome FORWARD,12,3,3,2,1,1,1,4,0,4,7,3,2,0,3,0,6,1,1,5,13,3,5,2,4,2,1,1,0,16,354,0,0,0,0,4,260,0,63,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,39,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"CP000095.2:1536467-1536524 Prochlorococcus marinus str. NATL2A, complete genome FORWARD",10,3,8,5,4,2,4,1,4,1,4,0,0,0,0,0,0,0,0,7,10,8,8,3,4,2,2,2,0,23,487,0,0,0,0,11,409,0,62,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,76,425,0,0,0,0,0,0,0,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"AACY021483025.1:393-449 Marine metagenome 1092963152033, whole genome shotgun sequence FORWARD",8,9,4,3,2,3,1,1,1,4,6,1,1,0,0,0,0,1,2,7,12,2,4,3,3,5,2,3,0,66,426,0,0,0,0,108,582,0,499,274,0,0,0,0,0,0,0,0,0,0,0,0,0,116,418,0,864,432,0,0,0,0,741,92,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,648,324,0,0,0,0,1344,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"AACY023852401.1:c427-367 Marine metagenome ctg_1101668659752, whole genome shotgun sequence FORWARD",10,6,6,5,4,4,2,2,1,2,5,1,0,0,0,0,0,0,1,4,12,6,10,8,3,2,2,0,0,28,558,0,0,0,0,28,432,0,190,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,160,1045,0,0,0,0,102,351,0,132,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,520,0,0,0,0,76,318,0,120,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,10,5,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
