seq1,seq2,similarity
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD",1.0
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR891331.1:25497-25617 Clostridium sp. CAG:964 genomic scaffold, scf131, whole genome shotgun sequence FORWARD",0.9795439375704342
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","KI391949.1:262503-262616 Ruminococcaceae bacterium D16 genomic scaffold acsPy-supercont2.3, whole genome shotgun sequence FORWARD",0.9866570518062033
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","CYYJ01000003.1:c277243-277134 Coprococcus eutactus strain 2789STDY5608843 genome assembly, contig: SCcontig000003, whole genome shotgun sequence FORWARD",0.989097565316397
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","CP001106.1:c172822-172710 Lachnospira eligens ATCC 27750 plasmid unnamed, complete sequence FORWARD",0.9859892581242011
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR894050.1:32199-32309 Roseburia sp. CAG:309 genomic scaffold, scf323, whole genome shotgun sequence FORWARD",0.9856697863384662
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","QUGS01000001.1:41189-41302 Clostridiaceae bacterium AF18-31LB AF18-31LB.Scaf1, whole genome shotgun sequence FORWARD",0.9673419899848499
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR902981.1:140198-140310 Firmicutes bacterium CAG:95 genomic scaffold, scf569, whole genome shotgun sequence FORWARD",0.9756557475937787
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR899699.1:c17751-17638 Clostridium sp. CAG:411 genomic scaffold, scf231, whole genome shotgun sequence FORWARD",0.9732816553353314
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","OFSM01000015.1:c77481-77368 Acetatifactor muris isolate GP69 genome assembly, contig: seq15, whole genome shotgun sequence FORWARD",0.9726727254344207
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","NFKO01000017.1:34941-35049 Pseudoflavonifractor sp. An176 An176_contig_17, whole genome shotgun sequence FORWARD",0.9472558748138564
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR893616.1:1213-1326 Firmicutes bacterium CAG:94 genomic scaffold, scf87, whole genome shotgun sequence FORWARD",0.986680280876011
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","QYJN01000002.1:c248720-248611 Staphylococcus gallinarum strain SNUC 4781 contig002, whole genome shotgun sequence FORWARD",0.9597767805842166
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","JACOPF010000001.1:660906-661019 Mediterraneibacter hominis strain NSJ-55 DNA.506_ctg0001, whole genome shotgun sequence FORWARD",0.9821948987325766
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","QUCW01000003.1:587954-588062 Roseburia sp. AM16-25 AM16-25.Scaf3, whole genome shotgun sequence FORWARD",0.970549249257337
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","QULQ01000004.1:2782-2892 Lachnospiraceae bacterium OM04-12BH OM04-12BH.Scaf4, whole genome shotgun sequence FORWARD",0.9774709700709282
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR879072.1:c280-170 Proteobacteria bacterium CAG:139 genomic scaffold, scf147, whole genome shotgun sequence FORWARD",0.9778803652064993
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR898066.1:c37404-37296 Ruminococcus sp. CAG:330 genomic scaffold, scf263, whole genome shotgun sequence FORWARD",0.9798177079223959
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","AP019695.1:1465005-1465118 Amedibacterium intestinale JCM 30884 DNA, complete genome FORWARD",0.9866570518062033
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","CM009896.1:c2975829-2975720 Butyrivibrio fibrisolvens strain INBov1 chromosome, whole genome shotgun sequence FORWARD",0.8969976097762289
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR894963.1:20903-21013 Bacteroides pectinophilus CAG:437 genomic scaffold, scf144, whole genome shotgun sequence FORWARD",0.9884833952972061
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","HF989117.1:76145-76258 Eubacterium sp. CAG:146 genomic scaffold, scf508, whole genome shotgun sequence FORWARD",0.9595851802147475
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","CM009896.1:c1347647-1347531 Butyrivibrio fibrisolvens strain INBov1 chromosome, whole genome shotgun sequence FORWARD",0.9880540035592087
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FNUR01000003.1:c388366-388257 Butyrivibrio sp. Su6 genome assembly, contig: IE64DRAFT_scaffold00003.3, whole genome shotgun sequence FORWARD",0.9570304822267133
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","FR894449.1:c20409-20296 Clostridium sp. CAG:299 genomic scaffold, scf224, whole genome shotgun sequence FORWARD",0.9818593174760023
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","QUFC01000002.1:223068-223181 Lachnospiraceae bacterium AM48-27BH AM48-27BH.Scaf2, whole genome shotgun sequence FORWARD",0.9907670980801184
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","HF990707.1:c76165-76050 Clostridium sp. CAG:7 genomic scaffold, scf140, whole genome shotgun sequence FORWARD",0.9492299968297865
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","RAYM01000023.1:13850-13963 Bacterium 1xD42-87 strain 1xD42-87 Scaffold13_1, whole genome shotgun sequence FORWARD",0.9894369396439464
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","KE150405.1:2132710-2132825 Lachnospiraceae bacterium 3_1_57FAA_CT1 genomic scaffold acsNU-supercont1.1, whole genome shotgun sequence FORWARD",0.9822593924367438
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","DS990201.1:c139586-139473 Ruminococcus lactaris ATCC 29176 Scfld_02_38 genomic scaffold, whole genome shotgun sequence FORWARD",0.9802335186812103
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","QUDT01000045.1:c5319-5209 Firmicutes bacterium AF36-19BH AF36-19BH.Scaf45, whole genome shotgun sequence FORWARD",0.9830125878301462
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","RAYK01000203.1:297-411 Bacterium 1xD8-6 strain 1xD8-6 Scaffold179_1, whole genome shotgun sequence FORWARD",0.9788909423616894
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD","RHJS01000002.1:4208310-4208423 Schaedlerella arabinosiphila strain DSM 106076 000000F_quiver_pilon, whole genome shotgun sequence FORWARD",0.9790312944534213
