seq1,seq2,similarity
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD",1.0
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","JYHN01000047.1:c14230-14174 Clostridium sp. FS41 CLFS41_contig000053, whole genome shotgun sequence FORWARD",0.7218020344661941
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","FR892673.1:72709-72772 Dorea sp. CAG:317 genomic scaffold, scf86, whole genome shotgun sequence FORWARD",0.4340894080224507
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","PSQF01000018.1:c7114-7056 Subdoligranulum sp. APC924/74 NODE_18_length_40448_cov_1185.06, whole genome shotgun sequence FORWARD",0.40643544787742314
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","HF990755.1:123512-123567 Clostridium sp. CAG:7 genomic scaffold, scf280, whole genome shotgun sequence FORWARD",0.7528342176475645
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","JACRSY010000063.1:c4082-4012 Zhenhengia yiwuensis strain NSJ-12 CP_SP_D3_27_ctg063, whole genome shotgun sequence FORWARD",0.7388748187878867
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","AB823818.1:c15818-15755 Geobacillus phage phiOH2 DNA, complete genome FORWARD",0.6554873980074624
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","CP060696.1:c905398-905337 Caproicibacterium amylolyticum strain LBM18003 chromosome, complete genome FORWARD",0.8399236105755993
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","CP000141.1:1955613-1955674 Carboxydothermus hydrogenoformans Z-2901, complete genome FORWARD",0.48309390769431
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD","JYHN01000078.1:c10151-10091 Clostridium sp. FS41 CLFS41_contig000086, whole genome shotgun sequence FORWARD",0.8651498588614592
