label,family,cluster
"ChrbB|CP053069.1:c1502571-1502513 Usitatibacter rugosus strain 0125_3 chromosome, complete genome FORWARD",ChrbB,4
"ChrbB|LT629703.1:c489857-489809 Afipia sp. GAS231 genome assembly, chromosome: I FORWARD",ChrbB,4
"ChrbB|CP021112.1:1981742-1981791 Pseudorhodoplanes sinuspersici strain RIPI110 chromosome, complete genome FORWARD",ChrbB,3
"ChrbB|LMLB01000001.1:105685-105736 Sphingomonas sp. Leaf33 contig_1, whole genome shotgun sequence FORWARD",ChrbB,3
"ChrbB|MAXC01000033.1:188706-188754 Bradyrhizobium sp. LMTR 3 NODE_3, whole genome shotgun sequence FORWARD",ChrbB,1
"ChrbB|CP073078.1:5426903-5426951 Phenylobacterium montanum strain S6 chromosome, complete genome FORWARD",ChrbB,4
"ChrbB|JAEQNE010000002.1:316914-316966 Ramlibacter monticola strain KACC 19175 contig2, whole genome shotgun sequence FORWARD",ChrbB,4
"ChrbB|JYMT01000042.1:c688911-688865 Bradyrhizobium sp. LTSP885 NODE_42, whole genome shotgun sequence FORWARD",ChrbB,3
"ChrbB|LMQL01000009.1:305624-305676 Ramlibacter sp. Leaf400 contig_3, whole genome shotgun sequence FORWARD",ChrbB,4
"ChrbB|CP010951.1:c2109339-2109282 Ramlibacter tataouinensis strain 5-10, complete genome FORWARD",ChrbB,4
"Drum|FR899699.1:c17751-17638 Clostridium sp. CAG:411 genomic scaffold, scf231, whole genome shotgun sequence FORWARD",Drum,7
"Drum|VWXL01000068.1:6274-6389 Caproicibacter fermentans strain EA1 CAFE_68, whole genome shotgun sequence FORWARD",Drum,7
"Drum|CYYM01000002.1:c347846-347731 Dorea longicatena strain 2789STDY5608851 genome assembly, contig: SCcontig000002, whole genome shotgun sequence FORWARD",Drum,7
"Drum|CM009896.1:c2975829-2975720 Butyrivibrio fibrisolvens strain INBov1 chromosome, whole genome shotgun sequence FORWARD",Drum,7
"Drum|KE150405.1:2132710-2132825 Lachnospiraceae bacterium 3_1_57FAA_CT1 genomic scaffold acsNU-supercont1.1, whole genome shotgun sequence FORWARD",Drum,7
"Drum|FR894449.1:c20409-20296 Clostridium sp. CAG:299 genomic scaffold, scf224, whole genome shotgun sequence FORWARD",Drum,7
"Drum|RAYK01000203.1:297-411 Bacterium 1xD8-6 strain 1xD8-6 Scaffold179_1, whole genome shotgun sequence FORWARD",Drum,7
"Drum|JACOPF010000001.1:660906-661019 Mediterraneibacter hominis strain NSJ-55 DNA.506_ctg0001, whole genome shotgun sequence FORWARD",Drum,7
"Drum|FNUR01000003.1:c388366-388257 Butyrivibrio sp. Su6 genome assembly, contig: IE64DRAFT_scaffold00003.3, whole genome shotgun sequence FORWARD",Drum,7
"Drum|HF991342.1:c29780-29667 Clostridium sp. CAG:632 genomic scaffold, scf117, whole genome shotgun sequence FORWARD",Drum,7
"GlutamineII|AACY021585725.1:c501-447 Marine metagenome 1172275, whole genome shotgun sequence FORWARD",GlutamineII,4
"GlutamineII|AACY022916502.1:c831-768 Marine metagenome ctg_1101667323853, whole genome shotgun sequence FORWARD",GlutamineII,6
"GlutamineII|AACY021712026.1:693-750 Marine metagenome 1093018701074, whole genome shotgun sequence FORWARD",GlutamineII,4
"GlutamineII|AACY021519823.1:138-195 Marine metagenome 1659005, whole genome shotgun sequence FORWARD",GlutamineII,4
"GlutamineII|CP000111.1:c1396332-1396270 Prochlorococcus marinus str. MIT 9312, complete genome FORWARD",GlutamineII,5
"GlutamineII|CP000553.1:c397281-397219 Prochlorococcus marinus str. NATL1A, complete genome FORWARD",GlutamineII,5
"GlutamineII|AACY021623887.1:c206-149 Marine metagenome 1680420, whole genome shotgun sequence FORWARD",GlutamineII,4
