seq1,median_similarity
AM260480.1:496833-496891 Ralstonia eutropha H16 chromosome 2 FORWARD,0.7320661279731038
AM746676.1:c4580779-4580721 Sorangium cellulosum 'So ce 56' complete genome FORWARD,0.7196560181272086
"AP009384.1:c1486639-1486584 Azorhizobium caulinodans ORS 571 DNA, complete genome FORWARD",0.8380708202714537
"AP012305.1:c497931-497876 Azoarcus sp. KH32C plasmid pAZKH DNA, complete genome FORWARD",0.7169146047111703
"AP012320.1:c1809734-1809683 Rubrivivax gelatinosus IL144 DNA, complete genome FORWARD",0.6914110328558833
"ATIB01000068.1:c114072-114016 Sphingobium baderi LL03 contig068, whole genome shotgun sequence FORWARD",0.8170332883610418
"BMIH01000002.1:c882707-882649 Sphingomonas metalli CGMCC 1.15330 DNA, sequence02, whole genome shotgun sequence FORWARD",0.7801599052522912
"CP000113.1:7494965-7495013 Myxococcus xanthus DK 1622, complete genome FORWARD",0.7679742512488487
"CP000245.1:1201949-1202001 Ramlibacter tataouinensis TTB310, complete genome FORWARD",0.5590781670155814
"CP000555.1:404714-404769 Methylibium petroleiphilum PM1, complete genome FORWARD",0.7068906390307004
"CP001510.1:c1292929-1292873 Methylobacterium extorquens AM1, complete genome FORWARD",0.6805908081987375
"CP002521.1:4962505-4962555 Acidovorax avenae subsp. avenae ATCC 19860, complete genome FORWARD",0.4464392555002665
"CP004037.1:c258954-258898 Sphingomonas sp. MM-1 plasmid pISP0, complete sequence FORWARD",0.8170332883610418
"CP009533.1:1400502-1400563 Pseudomonas rhizosphaerae strain DSM 16299, complete genome FORWARD",0.6451527549561648
"CP011125.1:c6712094-6712045 Sandaracinus amylolyticus strain DSM 53668, complete genome FORWARD",0.49141795370123803
"CP029211.1:c33883-33829 Aquabacterium olei strain NBRC 110486 plasmid pTB101, complete sequence FORWARD",0.8026120051748706
"CP029985.1:c3012493-3012434 Sphingomonas sp. FARSPH chromosome, complete genome FORWARD",0.8315124115363269
"CP054841.1:520038-520090 Comamonas antarctica strain 16-35-5 plasmid unnamed1, complete sequence FORWARD",0.6931374869539143
"CP059068.1:c3448250-3448196 Rhodoferax sp. AJA081-3 chromosome, complete genome FORWARD",0.6575948348336298
