seq1,median_similarity
"AKCV02000015.1:16351-16501 Imbroritus primus strain PBA contig15, whole genome shotgun sequence FORWARD",0.9985054083121536
"AP018560.1:c594948-594801 Aerosticca soli DNA, complete genome FORWARD",0.9982552756437608
"AVOG02000012.1:c250509-250362 Alcaligenes sp. EGD-AK7 Contig2, whole genome shotgun sequence FORWARD",0.996578106727409
"AZSV01000016.1:30506-30656 Pseudomonas sp. BAY1663 contig000016, whole genome shotgun sequence FORWARD",0.9984053690849826
"BBYR01000068.1:7745-7895 Ideonella sakaiensis DNA, contig: ISCTG068, whole genome shotgun sequence FORWARD",0.998467811653356
"BNBA01000005.1:136487-136633 [Pseudomonas] boreopolis JCM 13306 DNA, sequence05, whole genome shotgun sequence FORWARD",0.9972948540560144
"CP000270.1:3604961-3605108 Paraburkholderia xenovorans LB400 chromosome 1, complete sequence FORWARD",0.9989792652175952
"CP000352.1:2567864-2568011 Cupriavidus metallidurans CH34, complete genome FORWARD",0.9979009901095033
"CP000555.1:2530285-2530433 Methylibium petroleiphilum PM1, complete genome FORWARD",0.9970859776898832
"CP000555.1:2560890-2561040 Methylibium petroleiphilum PM1, complete genome FORWARD",0.9992196267518646
"CP000774.1:3663513-3663661 Parvibaculum lavamentivorans DS-1, complete genome FORWARD",0.9860436805345056
"CP000884.1:4572348-4572496 Delftia acidovorans SPH-1, complete genome FORWARD",0.9975449083713706
"CP001281.2:c1037709-1037559 Thauera sp. MZ1T, complete genome FORWARD",0.9982479328265854
"CP001281.2:c1079638-1079490 Thauera sp. MZ1T, complete genome FORWARD",0.9978007212969432
"CP002657.1:1904436-1904586 Alicycliphilus denitrificans K601, complete genome FORWARD",0.9983573172009981
"CP003239.1:c37424-37277 Tistrella mobilis KA081020-065 plasmid pTM3, complete sequence FORWARD",0.9988143331835192
"CP014671.1:c1356782-1356633 Immundisolibacter cernigliae strain TR3.2, complete genome FORWARD",0.9987966234383278
"CP014671.1:c1398225-1398077 Immundisolibacter cernigliae strain TR3.2, complete genome FORWARD",0.998024198666376
"CP017749.1:2302888-2303036 Cupriavidus sp. USMAA2-4 chromosome 2, complete sequence FORWARD",0.997061979760996
CP020914.1:2127623-2127773 Denitratisoma sp. DHT3 genome FORWARD,0.9985341864162492
"CP028339.1:c327956-327806 Thauera aromatica K172 chromosome, complete genome FORWARD",0.9990118292004215
"CP028339.1:c712044-711896 Thauera aromatica K172 chromosome, complete genome FORWARD",0.9973377441519522
