seq1,seq2,similarity
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD",1.0
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","JAEKDP010000001.1:c14207-14114 Rhodobacteraceae bacterium F11138 scaffold_1, whole genome shotgun sequence FORWARD",0.8986524271047533
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","FWFX01000003.1:c413199-413108 Roseovarius albus strain CECT 7450 genome assembly, contig: 0003, whole genome shotgun sequence FORWARD",0.960652739412514
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","JAAORB010000015.1:7317-7408 Roseovarius gahaiensis strain GH877 scaffold15, whole genome shotgun sequence FORWARD",0.9179616604002684
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","JAELVR010000011.1:c14100-14007 Sedimentitalea arenosa strain CAU 1593 contig11, whole genome shotgun sequence FORWARD",0.8850657048539851
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","FWFU01000001.1:9010-9101 Roseovarius halotolerans strain CECT 8110 genome assembly, contig: 0001, whole genome shotgun sequence FORWARD",0.9230405250561259
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","CP000031.2:c3720079-3719985 Ruegeria pomeroyi DSS-3, complete genome FORWARD",0.9625658344029022
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","CH724156.1:c366535-366444 Roseovarius nubinhibens ISM scf_1099451318306 genomic scaffold, whole genome shotgun sequence FORWARD",0.8028896857820929
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","PZKG01000083.1:c13272-13179 Cereibacter changlensis JA139 contig00083, whole genome shotgun sequence FORWARD",0.928649035222361
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","PVTQ01000002.1:74373-74464 Donghicola tyrosinivorans strain DSM 100212 Ga0181042_102, whole genome shotgun sequence FORWARD",0.9474393308416452
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","WQLV01000028.1:15364-15457 Parasedimentitalea huanghaiensis strain CY05 Scaffold26_1, whole genome shotgun sequence FORWARD",0.9229774846703657
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","DS995281.1:c3149577-3149485 Rhodobacterales bacterium Y4I scf_1106129324773 genomic scaffold, whole genome shotgun sequence FORWARD",0.9444216725817429
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","AQQP01000023.1:c14065-13973 Phaeobacter sp. 22II1-1F12B contig23, whole genome shotgun sequence FORWARD",0.9261108837082919
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","SZWE01000001.1:c939186-939095 Roseovarius bejariae strain A21 scaffold1, whole genome shotgun sequence FORWARD",0.9215188965992447
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","CYSD01000030.1:c17133-17040 Tropicibacter multivorans genome assembly Tr.multivorans_CECT7557_Seqman_Prokka, contig 0030, whole genome shotgun sequence FORWARD",0.8241816971771025
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","RAPE01000002.1:165275-165367 Roseovarius spongiae strain HN-E21 contig2, whole genome shotgun sequence FORWARD",0.8257156226302508
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","AAYC01000001.1:318015-318108 Roseobacter sp. SK209-2-6 1101232001815, whole genome shotgun sequence FORWARD",0.8802139621644809
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","AWWI01000112.1:8866-8960 Puniceibacterium antarcticum strain SM1211 contig112, whole genome shotgun sequence FORWARD",0.7968170752784391
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","FTPS01000001.1:c1120456-1120363 Pontibaca methylaminivorans strain DSM 21219 genome assembly, contig: Ga0104525_11, whole genome shotgun sequence FORWARD",0.770026028132622
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","FRBR01000023.1:8039-8130 Roseovarius pacificus strain DSM 29589 genome assembly, contig: Ga0131109_123, whole genome shotgun sequence FORWARD",0.8820174693559626
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","FXTO01000007.1:23343-23436 Lutimaribacter litoralis strain DSM 29506 genome assembly, contig: Ga0170392_107, whole genome shotgun sequence FORWARD",0.8073012604199039
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","JALZ01000008.1:c182383-182291 Roseivivax halodurans JCM 10272 contig8, whole genome shotgun sequence FORWARD",0.9479250797675539
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","VANS01000011.1:c15070-14978 Sulfitobacter sabulilitoris strain HSMS-29 contig11, whole genome shotgun sequence FORWARD",0.7812646378317706
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","CP048788.1:575036-575129 Roseobacter ponti strain DSM 106830 chromosome, complete genome FORWARD",0.8059255044600343
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","AQQW01000002.1:8611-8703 Roseivivax marinus strain 22II-s10s contig2, whole genome shotgun sequence FORWARD",0.8141629495127352
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","FRCB01000014.1:c34652-34561 Roseovarius litoreus strain DSM 28249 genome assembly, contig: Ga0131096_114, whole genome shotgun sequence FORWARD",0.9048690404461732
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD","QNGB01000005.1:c170206-170113 Roseovarius sp. TE539 contig5, whole genome shotgun sequence FORWARD",0.874265026761266
