seq1,median_similarity
"AB823818.1:c15818-15755 Geobacillus phage phiOH2 DNA, complete genome FORWARD",0.7917101958946866
"AJ609634.1:24875-24937 Bacteriophage EJ-1 proviral DNA, complete genome FORWARD",0.7862682476391695
"AP012200.1:c1486685-1486628 Melissococcus plutonius ATCC 35311 DNA, complete genome FORWARD",0.6777811668992734
"AP023368.1:c5291056-5290993 Anaerocolumna chitinilytica DNA, complete genome FORWARD",0.8917729816813224
"CP000141.1:1955613-1955674 Carboxydothermus hydrogenoformans Z-2901, complete genome FORWARD",0.6812771895046684
"CP000568.1:2950205-2950266 Acetivibrio thermocellus ATCC 27405 chromosome, complete genome FORWARD",0.7532800749084382
"CP002400.1:98771-98833 Ethanoligenens harbinense YUAN-3, complete genome FORWARD",0.7601824310598473
"CP002400.1:c531473-531411 Ethanoligenens harbinense YUAN-3, complete genome FORWARD",0.7337471973443853
"CP002547.1:361566-361626 Syntrophobotulus glycolicus DSM 8271, complete genome FORWARD",0.7348298473828304
"CP015439.1:c198254-198191 Anoxybacteroides amylolyticum strain DSM 15939 plasmid pDSM15939_1, complete sequence FORWARD",0.7776564215187195
"CP048649.1:543042-543101 Aminipila butyrica strain DSM 103574 chromosome, complete genome FORWARD",0.6834891763450446
"CP060696.1:c905398-905337 Caproicibacterium amylolyticum strain LBM18003 chromosome, complete genome FORWARD",0.4921781099752031
"CVTD020000017.1:c159990-159925 Herbinix hemicellulosilytica genome assembly TUM3/55, contig 02_T3/55T_contig17, whole genome shotgun sequence FORWARD",0.6887154734482676
"DS480667.1:c113974-113910 Clostridium bolteae ATCC BAA-613 Scfld_02_8 genomic scaffold, whole genome shotgun sequence FORWARD",1.0
"FNAF01000006.1:82701-82756 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_106, whole genome shotgun sequence FORWARD",0.722561485752891
"FNAF01000009.1:c30811-30757 Peptococcus niger strain DSM 20475 genome assembly, contig: Ga0074849_109, whole genome shotgun sequence FORWARD",0.7059654551953612
"FNNG01000032.1:26-88 Tepidimicrobium xylanilyticum strain DSM 23310 genome assembly, contig: Ga0056071_scaffold00032.32, whole genome shotgun sequence FORWARD",0.7081285045965704
"FNNG01000033.1:26-88 Tepidimicrobium xylanilyticum strain DSM 23310 genome assembly, contig: Ga0056071_scaffold00033.33, whole genome shotgun sequence FORWARD",0.7563922977091123
"FOIM01000050.1:c14865-14794 [Clostridium] lavalense strain NLAE-zl-G277 genome assembly, contig: Ga0070262_150, whole genome shotgun sequence FORWARD",0.7271054528580851
"FOIM01000054.1:7615-7671 [Clostridium] lavalense strain NLAE-zl-G277 genome assembly, contig: Ga0070262_154, whole genome shotgun sequence FORWARD",0.7576916111676498
"FQZO01000002.1:c248557-248488 Clostridium amylolyticum strain DSM 21864 genome assembly, contig: Ga0131114_102, whole genome shotgun sequence FORWARD",0.7858425355728741
"FR887997.1:c11747-11688 Clostridium leptum CAG:27 genomic scaffold, scf168, whole genome shotgun sequence FORWARD",0.7674292445249646
"FR888125.1:c32299-32236 Lachnospiraceae bacterium CAG:364 genomic scaffold, scf233, whole genome shotgun sequence FORWARD",0.7454369090844003
"FR892673.1:72709-72772 Dorea sp. CAG:317 genomic scaffold, scf86, whole genome shotgun sequence FORWARD",0.5206340962455303
