seq1,seq2,similarity
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,1.0
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"AKCV02000015.1:16351-16501 Imbroritus primus strain PBA contig15, whole genome shotgun sequence FORWARD",0.9988163313804553
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"SMTF01000002.1:c298437-298289 Luteimonas aestuarii strain B9 Scaffold2_1, whole genome shotgun sequence FORWARD",0.9958238177842507
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"QLAG01000012.1:c3464-3314 Stutzerimonas nosocomialis strain SD129 contig00012, whole genome shotgun sequence FORWARD",0.9989651552616393
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"JAARLZ010000003.1:397931-398078 Luteibacter anthropi strain CCUG 25036 NODE_3_length_549020_cov_39.538753, whole genome shotgun sequence FORWARD",0.9975616916394588
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"BNBA01000005.1:136487-136633 [Pseudomonas] boreopolis JCM 13306 DNA, sequence05, whole genome shotgun sequence FORWARD",0.9976963307919958
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"CP000774.1:3663513-3663661 Parvibaculum lavamentivorans DS-1, complete genome FORWARD",0.9834466247746595
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"CP014671.1:c1398225-1398077 Immundisolibacter cernigliae strain TR3.2, complete genome FORWARD",0.9969273293769991
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"FNCT01000005.1:c76588-76438 Pseudomonas benzenivorans strain DSM 8628 genome assembly, contig: Ga0104648_105, whole genome shotgun sequence FORWARD",0.998312555280656
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"FLOC01000018.1:c52448-52300 Marinomonas aquimarina strain CECT 5080 genome assembly, contig: 0018, whole genome shotgun sequence FORWARD",0.9958359906286711
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"CP002657.1:1904436-1904586 Alicycliphilus denitrificans K601, complete genome FORWARD",0.9990143130305783
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"CP000270.1:3604961-3605108 Paraburkholderia xenovorans LB400 chromosome 1, complete sequence FORWARD",0.9994567441033948
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"AZSV01000016.1:30506-30656 Pseudomonas sp. BAY1663 contig000016, whole genome shotgun sequence FORWARD",0.9987823695391678
CR555306.1:c1513825-1513675 Azoarcus aromaticum EbN1 complete genome FORWARD,"MWIO01000030.1:101837-101987 Rhodanobacter lindaniclasticus strain DSM 17932 DSM-17932_S8_L001_R1_001__paired__contig_30, whole genome shotgun sequence FORWARD",0.9987310603915481
