seq1,median_similarity
"AACY020091254.1:c530-468 Marine metagenome 1096626104969, whole genome shotgun sequence FORWARD",0.7982891602837547
"AACY020105649.1:c520-461 Marine metagenome 1096626748247, whole genome shotgun sequence FORWARD",0.4839282281877031
"AACY020217963.1:c776-714 Marine metagenome 1096626252425, whole genome shotgun sequence FORWARD",0.6005596658708119
"AACY020219155.1:890-952 Marine metagenome 1096626766369, whole genome shotgun sequence FORWARD",0.6967724692578955
"AACY020396045.1:947-1009 Marine metagenome 1096626503827, whole genome shotgun sequence FORWARD",0.6690228695989684
"AACY020543559.1:c538-477 Marine metagenome 1096626716315, whole genome shotgun sequence FORWARD",0.8074985603520244
"AACY021483025.1:393-449 Marine metagenome 1092963152033, whole genome shotgun sequence FORWARD",0.486469678947662
"AACY021486203.1:224-276 Marine metagenome 1092215152705, whole genome shotgun sequence FORWARD",0.5972166816500732
"AACY021519823.1:138-195 Marine metagenome 1659005, whole genome shotgun sequence FORWARD",0.7678565723696186
"AACY021585725.1:c501-447 Marine metagenome 1172275, whole genome shotgun sequence FORWARD",0.6966232904896463
"AACY021623887.1:c206-149 Marine metagenome 1680420, whole genome shotgun sequence FORWARD",0.6496606323141982
"AACY021712026.1:693-750 Marine metagenome 1093018701074, whole genome shotgun sequence FORWARD",0.779241697745799
"AACY022005844.1:c458-401 Marine metagenome 1092963286685, whole genome shotgun sequence FORWARD",0.5258014966461186
"AACY022035041.1:176-230 Marine metagenome 1092963296562, whole genome shotgun sequence FORWARD",0.6795497660838836
"AACY022234759.1:c276-219 Marine metagenome 1092405876933, whole genome shotgun sequence FORWARD",0.5648137886323468
"AACY022360476.1:c826-764 Marine metagenome 418790, whole genome shotgun sequence FORWARD",0.7982191022985665
"AACY022394159.1:235-290 Marine metagenome 1429668, whole genome shotgun sequence FORWARD",0.2612565779736324
"AACY022685122.1:c141-79 Marine metagenome ctg_1101667092473, whole genome shotgun sequence FORWARD",0.8327496368679828
"AACY022706192.1:c94-32 Marine metagenome ctg_1101667113543, whole genome shotgun sequence FORWARD",0.7385828606267444
"AACY022721247.1:660-716 Marine metagenome ctg_1101667128598, whole genome shotgun sequence FORWARD",0.4928854000203896
"AACY022802873.1:c608-549 Marine metagenome ctg_1101667210224, whole genome shotgun sequence FORWARD",0.48984584607412734
"AACY022818175.1:184-246 Marine metagenome ctg_1101667225526, whole genome shotgun sequence FORWARD",0.7365888322404797
"AACY022916502.1:c831-768 Marine metagenome ctg_1101667323853, whole genome shotgun sequence FORWARD",0.7220305388422181
"AACY022977679.1:606-668 Marine metagenome ctg_1101667385030, whole genome shotgun sequence FORWARD",0.7230089847221237
"AACY023383882.1:c1059-1002 Marine metagenome ctg_1101668191233, whole genome shotgun sequence FORWARD",0.7740433520074106
"AACY023488045.1:c608-551 Marine metagenome ctg_1101668295396, whole genome shotgun sequence FORWARD",0.8872363236369747
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD",0.5699114194431327
"AACY023852401.1:c427-367 Marine metagenome ctg_1101668659752, whole genome shotgun sequence FORWARD",0.8069866764094703
"AACY023924099.1:c993-941 Marine metagenome ctg_1101668731450, whole genome shotgun sequence FORWARD",0.4232228832020195
"AACY023938474.1:1158-1220 Marine metagenome ctg_1101668745825, whole genome shotgun sequence FORWARD",0.6612310949114432
"AANO01000069.1:694-756 Synechococcus sp. WH 5701 1099465003518, whole genome shotgun sequence FORWARD",0.523433580317149
"AAOK01000003.1:c2958-2897 Synechococcus sp. WH 7805 1099646010149, whole genome shotgun sequence FORWARD",0.8305376529286611
"ACDW01000004.1:c718908-718851 Prochlorococcus marinus str. MIT 9202 ctg_1109798534680, whole genome shotgun sequence FORWARD",0.779241697745799
"ACNY01000002.1:c278641-278580 Synechococcus sp. WH 8109 ctg_1113323213556, whole genome shotgun sequence FORWARD",1.0
BX548175.1:1082118-1082175 Prochlorococcus marinus MIT9313 complete genome FORWARD,0.6259712809425936
BX569695.1:264389-264453 Synechococcus sp. WH8102 complete genome; segment 7/7 FORWARD,0.781631162406051
"CP000095.2:1536467-1536524 Prochlorococcus marinus str. NATL2A, complete genome FORWARD",0.6825449311594215
"CP000095.2:c1035098-1035036 Prochlorococcus marinus str. NATL2A, complete genome FORWARD",0.5997577554308017
"CP000097.1:937913-937973 Synechococcus sp. CC9902, complete genome FORWARD",0.6779926303238383
"CP000097.1:c973366-973307 Synechococcus sp. CC9902, complete genome FORWARD",0.791858908849942
"CP000110.1:1391085-1391144 Synechococcus sp. CC9605, complete genome FORWARD",0.8692416876062474
"CP000110.1:518912-518973 Synechococcus sp. CC9605, complete genome FORWARD",0.7114231655900326
"CP000111.1:c1396332-1396270 Prochlorococcus marinus str. MIT 9312, complete genome FORWARD",0.721718947691371
"CP000551.1:c1075404-1075342 Prochlorococcus marinus str. AS9601, complete genome FORWARD",0.6612310949114432
"CP000552.1:c426597-426540 Prochlorococcus marinus str. MIT 9515, complete genome FORWARD",0.8310173904455498
"CP000552.1:c662192-662132 Prochlorococcus marinus str. MIT 9515, complete genome FORWARD",0.7634643402574287
"CP000553.1:c397281-397219 Prochlorococcus marinus str. NATL1A, complete genome FORWARD",0.7471413373322279
"CP000554.1:c984332-984275 Prochlorococcus marinus str. MIT 9303, complete genome FORWARD",0.7468044331594871
CT978603.1:1340859-1340915 Synechococcus sp. RCC307 genomic DNA sequence FORWARD,0.5242693802336251
DQ366726.1:9273-9330 Uncultured Prochlorococcus marinus clone HF10-88F10 genomic sequence FORWARD,0.7930833559876677
