seq_name,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7,bit_8,bit_9,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,bit_21,bit_22,bit_23,bit_24,bit_25,bit_26,bit_27,bit_28,bit_29,bit_30,bit_31,bit_32,bit_33,bit_34,bit_35,bit_36,bit_37,bit_38,bit_39,bit_40,bit_41,bit_42,bit_43,bit_44,bit_45,bit_46,bit_47,bit_48,bit_49,bit_50,bit_51,bit_52,bit_53,bit_54,bit_55,bit_56,bit_57,bit_58,bit_59,bit_60,bit_61,bit_62,bit_63,bit_64,bit_65,bit_66,bit_67,bit_68,bit_69,bit_70,bit_71,bit_72,bit_73,bit_74,bit_75,bit_76,bit_77,bit_78,bit_79,bit_80,bit_81,bit_82,bit_83,bit_84,bit_85,bit_86,bit_87,bit_88,bit_89,bit_90,bit_91,bit_92,bit_93,bit_94,bit_95,bit_96,bit_97,bit_98,bit_99,bit_100,bit_101,bit_102,bit_103,bit_104,bit_105,bit_106,bit_107,bit_108,bit_109,bit_110,bit_111,bit_112,bit_113,bit_114,bit_115,bit_116,bit_117,bit_118,bit_119,bit_120,bit_121,bit_122,bit_123,bit_124,bit_125,bit_126,bit_127,bit_128,bit_129,bit_130,bit_131,bit_132,bit_133,bit_134,bit_135,bit_136,bit_137,bit_138,bit_139,bit_140,bit_141,bit_142,bit_143,bit_144,bit_145,bit_146,bit_147,bit_148,bit_149,bit_150,bit_151,bit_152,bit_153,bit_154,bit_155,bit_156,bit_157,bit_158,bit_159,bit_160,bit_161,bit_162,bit_163,bit_164,bit_165,bit_166,bit_167,bit_168,bit_169,bit_170,bit_171,bit_172,bit_173,bit_174,bit_175,bit_176,bit_177,bit_178,bit_179,bit_180,bit_181,bit_182,bit_183,bit_184,bit_185,bit_186,bit_187,bit_188,bit_189,bit_190,bit_191,bit_192,bit_193,bit_194,bit_195,bit_196,bit_197,bit_198,bit_199,bit_200,bit_201,bit_202,bit_203,bit_204,bit_205,bit_206,bit_207,bit_208,bit_209,bit_210,bit_211,bit_212,bit_213,bit_214,bit_215,bit_216,bit_217,bit_218,bit_219,bit_220,bit_221,bit_222,bit_223,bit_224,bit_225,bit_226,bit_227,bit_228,bit_229,bit_230,bit_231,bit_232,bit_233,bit_234,bit_235,bit_236,bit_237,bit_238,bit_239,bit_240,bit_241,bit_242,bit_243,bit_244,bit_245,bit_246,bit_247,bit_248,bit_249,bit_250,bit_251,bit_252,bit_253,bit_254,bit_255,bit_256,bit_257,bit_258,bit_259,bit_260,bit_261,bit_262,bit_263,bit_264,bit_265,bit_266,bit_267,bit_268,bit_269,bit_270,bit_271,bit_272,bit_273,bit_274,bit_275,bit_276,bit_277,bit_278,bit_279,bit_280,bit_281,bit_282,bit_283,bit_284,bit_285,bit_286,bit_287,bit_288,bit_289,bit_290,bit_291,bit_292,bit_293,bit_294,bit_295,bit_296,bit_297,bit_298,bit_299,bit_300,bit_301,bit_302,bit_303,bit_304,bit_305,bit_306,bit_307,bit_308,bit_309,bit_310,bit_311,bit_312,bit_313,bit_314,bit_315,bit_316,bit_317,bit_318,bit_319,bit_320,bit_321,bit_322,bit_323,bit_324,bit_325,bit_326,bit_327,bit_328,bit_329,bit_330,bit_331,bit_332,bit_333,bit_334,bit_335,bit_336,bit_337,bit_338,bit_339,bit_340,bit_341,bit_342,bit_343,bit_344,bit_345,bit_346,bit_347,bit_348,bit_349,bit_350,bit_351,bit_352,bit_353,bit_354,bit_355,bit_356,bit_357,bit_358,bit_359,bit_360,bit_361,bit_362,bit_363,bit_364,bit_365,bit_366,bit_367,bit_368,bit_369,bit_370,bit_371,bit_372,bit_373,bit_374,bit_375,bit_376,bit_377,bit_378,bit_379,bit_380,bit_381,bit_382,bit_383,bit_384,bit_385,bit_386,bit_387,bit_388,bit_389,bit_390,bit_391
"LQBQ01000035.1:269019-269112 Ruegeria marisrubri strain ZGT118 contig_5, whole genome shotgun sequence FORWARD",18,6,9,8,4,5,2,5,3,5,12,3,1,1,0,0,2,7,9,19,17,8,6,4,6,2,1,1,1,33,2151,0,0,24,3,38,734,20,814,20745,0,0,0,0,0,0,0,7,58,0,0,72,2,46,763,3,255,4535,0,0,480,38,721,10388,12,5438,64372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,7,0,0,0,0,0,0,0,21,174,0,0,48,0,40,904,0,252,1561,0,0,72,9,160,1855,0,1021,12353,0,0,0,0,0,0,0,140,1160,0,0,912,23,698,12768,0,3168,28426,0,0,288,5,1726,14228,0,12749,52662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"JAEKDP010000001.1:c14207-14114 Rhodobacteraceae bacterium F11138 scaffold_1, whole genome shotgun sequence FORWARD",14,10,9,5,6,2,4,3,4,2,17,6,0,0,0,0,4,5,7,9,24,8,13,3,5,3,0,0,0,30,2131,0,0,0,0,44,632,0,845,18932,0,0,0,0,0,0,0,0,0,0,0,0,0,44,908,0,101,1166,0,0,0,0,1073,15156,0,2694,41719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,887,0,123,234,0,0,0,0,44,576,0,155,2474,0,0,0,0,0,0,0,0,0,0,0,0,0,941,21932,0,1920,8425,0,0,0,0,943,18918,0,3813,19421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"FWFX01000003.1:c413199-413108 Roseovarius albus strain CECT 7450 genome assembly, contig: 0003, whole genome shotgun sequence FORWARD",20,5,7,7,6,4,3,2,4,2,16,3,0,2,0,0,2,3,6,12,22,7,13,2,8,2,3,1,0,19,2057,0,0,0,0,4,743,0,223,18531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,80,7153,0,0,0,0,6,5363,0,631,51870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,1993,0,246,18239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,22,11794,0,0,0,0,0,13188,0,293,40433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"JAAORB010000015.1:7317-7408 Roseovarius gahaiensis strain GH877 scaffold15, whole genome shotgun sequence FORWARD",12,8,8,4,7,4,4,3,4,1,13,7,6,0,0,0,4,2,11,15,24,8,6,2,4,3,1,0,0,12,1953,0,0,0,0,1,475,0,121,15131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,33,4513,0,0,0,0,13,1508,0,965,33568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,0,0,0,0,5,543,0,272,9797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,61,7260,0,0,0,0,1,339,0,2857,14086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"JAELVR010000011.1:c14100-14007 Sedimentitalea arenosa strain CAU 1593 contig11, whole genome shotgun sequence FORWARD",18,7,11,7,4,4,5,3,3,4,12,3,1,0,0,0,2,6,9,14,19,12,6,8,5,0,0,1,0,60,2182,0,0,0,0,39,1406,0,1630,20784,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1204,0,1098,11378,0,0,0,0,564,15157,0,14213,56016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,932,7747,0,0,0,0,354,9689,0,7559,29394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12590,0,10183,38006,0,0,0,0,598,22334,0,32798,24095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"FWFU01000001.1:9010-9101 Roseovarius halotolerans strain CECT 8110 genome assembly, contig: 0001, whole genome shotgun sequence FORWARD",12,10,5,8,7,3,4,3,5,3,13,6,1,0,0,0,4,3,7,13,22,10,8,4,4,4,0,0,0,29,1997,0,0,0,0,24,532,0,859,16585,0,0,0,0,0,0,0,0,0,0,0,0,0,28,76,0,231,4532,0,0,0,0,919,4410,0,7091,34077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,36,164,0,0,0,0,253,1436,0,1965,8499,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,1446,0,1586,7785,0,0,0,0,6610,13215,0,9054,15253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"CP000031.2:c3720079-3719985 Ruegeria pomeroyi DSS-3, complete genome FORWARD",18,11,7,7,5,4,2,4,4,3,14,3,1,0,0,0,5,7,7,15,15,9,7,6,6,2,0,1,0,43,2251,0,0,0,0,86,1101,0,1049,22766,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1751,0,251,5948,0,0,0,0,1904,20432,0,4212,78225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,2517,0,186,3590,0,0,0,0,306,3629,0,1019,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,2681,36209,0,2600,54610,0,0,0,0,2928,38939,0,9146,65246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"CH724156.1:c366535-366444 Roseovarius nubinhibens ISM scf_1099451318306 genomic scaffold, whole genome shotgun sequence FORWARD",16,9,10,3,7,3,4,5,2,4,11,3,3,0,0,0,1,0,7,12,20,6,7,9,9,4,3,2,0,72,2010,0,0,0,0,172,1556,0,1692,17930,0,0,0,0,0,0,0,0,0,0,0,0,0,226,2999,0,1182,8336,0,0,0,0,3586,20797,0,10477,45874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,4108,0,1984,4863,0,0,0,0,2392,9371,0,4731,17344,0,0,0,0,0,0,0,0,0,0,0,0,0,3347,47401,0,12695,30187,0,0,0,0,14577,25340,0,27192,19726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"PZKG01000083.1:c13272-13179 Cereibacter changlensis JA139 contig00083, whole genome shotgun sequence FORWARD",16,8,13,9,7,6,4,3,4,1,6,2,4,0,0,0,3,5,15,16,14,6,5,4,7,3,4,0,0,56,2280,0,0,0,0,106,1423,0,1429,23423,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2118,0,501,7706,0,0,0,0,2499,26847,0,5721,74572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,3020,0,562,4432,0,0,0,0,618,6832,0,1633,17648,0,0,0,0,0,0,0,0,0,0,0,0,0,4011,45820,0,5098,62143,0,0,0,0,1695,34329,0,13833,50949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"PVTQ01000002.1:74373-74464 Donghicola tyrosinivorans strain DSM 100212 Ga0181042_102, whole genome shotgun sequence FORWARD",16,8,6,8,4,4,3,6,3,5,14,3,0,0,0,0,1,0,3,13,28,15,9,4,6,1,0,0,0,42,2034,0,0,0,0,73,817,0,1122,18150,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1173,0,378,3218,0,0,0,0,1905,13332,0,6603,42654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1272,0,489,1019,0,0,0,0,735,1983,0,969,5515,0,0,0,0,0,0,0,0,0,0,0,0,0,944,20684,0,5315,20391,0,0,0,0,10898,9634,0,12036,25511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
