seq1,median_similarity
"AP019695.1:1465005-1465118 Amedibacterium intestinale JCM 30884 DNA, complete genome FORWARD",0.9760198189945276
"CM009896.1:c1347647-1347531 Butyrivibrio fibrisolvens strain INBov1 chromosome, whole genome shotgun sequence FORWARD",0.9690131744998093
"CM009896.1:c2975829-2975720 Butyrivibrio fibrisolvens strain INBov1 chromosome, whole genome shotgun sequence FORWARD",0.88232032508741
"CP001106.1:c172822-172710 Lachnospira eligens ATCC 27750 plasmid unnamed, complete sequence FORWARD",0.9588170764155532
"CYYJ01000003.1:c277243-277134 Coprococcus eutactus strain 2789STDY5608843 genome assembly, contig: SCcontig000003, whole genome shotgun sequence FORWARD",0.962792190285652
"CYYM01000002.1:c347846-347731 Dorea longicatena strain 2789STDY5608851 genome assembly, contig: SCcontig000002, whole genome shotgun sequence FORWARD",0.9759814664929284
"CYZN01000034.1:c17171-17058 Blautia wexlerae strain 2789STDY5834863 genome assembly, contig: SCcontig000034, whole genome shotgun sequence FORWARD",0.941429930962731
"DS990201.1:c139586-139473 Ruminococcus lactaris ATCC 29176 Scfld_02_38 genomic scaffold, whole genome shotgun sequence FORWARD",0.9731555757833829
"FNUR01000003.1:c388366-388257 Butyrivibrio sp. Su6 genome assembly, contig: IE64DRAFT_scaffold00003.3, whole genome shotgun sequence FORWARD",0.9095245123881208
"FOKR01000009.1:112323-112433 Butyrivibrio sp. YAB3001 genome assembly, contig: IE68DRAFT_scaffold00008.8, whole genome shotgun sequence FORWARD",0.9794962006286572
"FR879072.1:c280-170 Proteobacteria bacterium CAG:139 genomic scaffold, scf147, whole genome shotgun sequence FORWARD",0.9701429732713625
"FR887078.1:c1481-1374 Firmicutes bacterium CAG:170 genomic scaffold, scf68, whole genome shotgun sequence FORWARD",1.0
"FR891331.1:25497-25617 Clostridium sp. CAG:964 genomic scaffold, scf131, whole genome shotgun sequence FORWARD",0.9665230698427532
"FR893616.1:1213-1326 Firmicutes bacterium CAG:94 genomic scaffold, scf87, whole genome shotgun sequence FORWARD",0.9795405057781046
"FR894050.1:32199-32309 Roseburia sp. CAG:309 genomic scaffold, scf323, whole genome shotgun sequence FORWARD",0.957550055038061
"FR894449.1:c20409-20296 Clostridium sp. CAG:299 genomic scaffold, scf224, whole genome shotgun sequence FORWARD",0.9661116922861361
"FR894963.1:20903-21013 Bacteroides pectinophilus CAG:437 genomic scaffold, scf144, whole genome shotgun sequence FORWARD",0.9730310938929918
"FR895390.1:c63093-62983 Firmicutes bacterium CAG:882 genomic scaffold, scf109, whole genome shotgun sequence FORWARD",0.9565025669142553
"FR898066.1:c37404-37296 Ruminococcus sp. CAG:330 genomic scaffold, scf263, whole genome shotgun sequence FORWARD",0.9753924504365724
"FR898094.1:c78451-78338 Ruminococcus sp. CAG:330 genomic scaffold, scf431, whole genome shotgun sequence FORWARD",0.9652369357125625
"FR899699.1:c17751-17638 Clostridium sp. CAG:411 genomic scaffold, scf231, whole genome shotgun sequence FORWARD",0.9575098765400255
"FR902981.1:140198-140310 Firmicutes bacterium CAG:95 genomic scaffold, scf569, whole genome shotgun sequence FORWARD",0.972004375015547
"HF989117.1:76145-76258 Eubacterium sp. CAG:146 genomic scaffold, scf508, whole genome shotgun sequence FORWARD",0.9469146651543496
"HF990707.1:c76165-76050 Clostridium sp. CAG:7 genomic scaffold, scf140, whole genome shotgun sequence FORWARD",0.9321917363242522
"HF991342.1:c29780-29667 Clostridium sp. CAG:632 genomic scaffold, scf117, whole genome shotgun sequence FORWARD",0.9521560273942158
"HF992257.1:c35906-35796 Butyrivibrio crossotus CAG:259 genomic scaffold, scf129, whole genome shotgun sequence FORWARD",0.9669465392784876
"JACJLV010000001.1:c132403-132291 Mordavella massiliensis strain An420c An420c_contig-110_0, whole genome shotgun sequence FORWARD",0.9649255553067936
"JACOPF010000001.1:660906-661019 Mediterraneibacter hominis strain NSJ-55 DNA.506_ctg0001, whole genome shotgun sequence FORWARD",0.9776550227431394
"JACOPL010000024.1:8050-8165 Agathobaculum faecis strain NSJ-28 N50_ctg024, whole genome shotgun sequence FORWARD",0.956123747707134
"JAGTTQ010000001.1:c2544867-2544749 Eubacteriaceae bacterium Marseille-Q4139 NODE_1_length_3951564_cov_61.899024, whole genome shotgun sequence FORWARD",0.9518314453813081
"JH379027.1:3191473-3191588 Clostridium hathewayi WAL-18680 genomic scaffold supercont1.1, whole genome shotgun sequence FORWARD",0.9638494246339994
"KE150405.1:2132710-2132825 Lachnospiraceae bacterium 3_1_57FAA_CT1 genomic scaffold acsNU-supercont1.1, whole genome shotgun sequence FORWARD",0.9767028825552265
"KI391949.1:262503-262616 Ruminococcaceae bacterium D16 genomic scaffold acsPy-supercont2.3, whole genome shotgun sequence FORWARD",0.9755775670526359
"KN174167.1:c135830-135713 Clostridium orbiscindens 1_3_50AFAA genomic scaffold supercont1.7, whole genome shotgun sequence FORWARD",0.96379650359513
"NFKO01000017.1:34941-35049 Pseudoflavonifractor sp. An176 An176_contig_17, whole genome shotgun sequence FORWARD",0.9279398323342629
"OFSM01000015.1:c77481-77368 Acetatifactor muris isolate GP69 genome assembly, contig: seq15, whole genome shotgun sequence FORWARD",0.958706544665368
"QSDR01000017.1:44151-44262 Clostridium sp. AM58-1XD AM58-1XD.Scaf17, whole genome shotgun sequence FORWARD",0.9695623513323863
"QTVN01000012.1:2516-2629 Ruminococcus sp. AF31-8BH AF31-8BH.Scaf12, whole genome shotgun sequence FORWARD",0.9743849649855068
"QUCW01000003.1:587954-588062 Roseburia sp. AM16-25 AM16-25.Scaf3, whole genome shotgun sequence FORWARD",0.9356637727378454
"QUDT01000045.1:c5319-5209 Firmicutes bacterium AF36-19BH AF36-19BH.Scaf45, whole genome shotgun sequence FORWARD",0.9661649220351323
"QUFC01000002.1:223068-223181 Lachnospiraceae bacterium AM48-27BH AM48-27BH.Scaf2, whole genome shotgun sequence FORWARD",0.968294240219966
"QUFC01000051.1:c4686-4573 Lachnospiraceae bacterium AM48-27BH AM48-27BH.Scaf51, whole genome shotgun sequence FORWARD",0.9643301608398762
"QUGS01000001.1:41189-41302 Clostridiaceae bacterium AF18-31LB AF18-31LB.Scaf1, whole genome shotgun sequence FORWARD",0.9594575685667407
"QULQ01000004.1:2782-2892 Lachnospiraceae bacterium OM04-12BH OM04-12BH.Scaf4, whole genome shotgun sequence FORWARD",0.940076484707652
"QYJN01000002.1:c248720-248611 Staphylococcus gallinarum strain SNUC 4781 contig002, whole genome shotgun sequence FORWARD",0.9477460331802968
"RAYK01000203.1:297-411 Bacterium 1xD8-6 strain 1xD8-6 Scaffold179_1, whole genome shotgun sequence FORWARD",0.9647196581484924
"RAYM01000023.1:13850-13963 Bacterium 1xD42-87 strain 1xD42-87 Scaffold13_1, whole genome shotgun sequence FORWARD",0.966655804261808
"RHJS01000002.1:4208310-4208423 Schaedlerella arabinosiphila strain DSM 106076 000000F_quiver_pilon, whole genome shotgun sequence FORWARD",0.9763919202995877
"VIQV01000036.1:18713-18828 Lachnospiraceae bacterium MD329 10_Assembly.final.scaffolds_scaffold21.1, whole genome shotgun sequence FORWARD",0.9461296905661455
"VWXL01000068.1:6274-6389 Caproicibacter fermentans strain EA1 CAFE_68, whole genome shotgun sequence FORWARD",0.9644563065811936
