seq1,median_similarity
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",0.8390290628148361
FM207411.1:c8702-8606 Synechococcus phage S-RSM4 complete genome FORWARD,0.8989039131984082
"GU071094.1:163608-163699 Synechococcus phage S-SM1, complete genome FORWARD",0.9165514457688764
"GU071095.1:179573-179668 Synechococcus phage S-SM2, complete genome FORWARD",0.8923692032596007
"GU071096.1:167689-167782 Synechococcus phage S-ShM2, complete genome FORWARD",0.873173354208912
"GU071097.1:164585-164681 Synechococcus phage S-SSM5, complete genome FORWARD",0.9163563672252918
"GU071101.1:169216-169312 Prochlorococcus phage P-HM1, complete genome FORWARD",0.9438941318027458
"GU071105.1:181614-181709 Prochlorococcus phage Syn1, complete genome FORWARD",0.8499909534994172
"GU071106.1:166909-167003 Synechococcus phage Syn19, complete genome FORWARD",0.949263451425152
"GU071108.1:162206-162301 Prochlorococcus phage Syn33, complete genome FORWARD",0.9190036279783758
HQ316583.1:154778-154876 Cyanophage S-SSM4 genomic sequence FORWARD,0.9300132886015428
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",0.8493671904914777
HQ317383.1:150656-150750 Synechococcus phage S-IOM18 genomic sequence FORWARD,0.920796389887328
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,0.8822474802035719
HQ634175.1:c68532-68436 Cyanophage P-RSM1 genomic sequence FORWARD,0.9399669104503761
HQ634177.1:c104331-104238 Synechococcus phage S-CAM1 genomic sequence FORWARD,0.9434509192683729
"HQ634178.1:157403-157496 Synechococcus phage S-CAM8 strain S-CAM8 06008BI06, complete genome FORWARD",0.9215782685385432
"JN371769.1:162313-162408 Synechococcus phage metaG-MbCM1, complete genome FORWARD",0.8292651627875776
"JQ245707.2:8125-8221 Cyanophage S-TIM5, complete genome FORWARD",0.9197559395761741
"KF156338.1:177377-177473 Synechococcus phage S-MbCM7, complete genome FORWARD",0.9509175791411092
"KF156339.1:162719-162812 Synechococcus phage S-MbCM25, complete genome FORWARD",0.8899095515579897
"KJ019054.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C85, complete genome FORWARD",0.9125133450649456
"KJ019059.1:174288-174383 Synechococcus phage ACG-2014f isolate Syn7803C90, complete genome FORWARD",0.9177422995952924
"KJ019071.1:159787-159880 Synechococcus phage ACG-2014g isolate Syn7803US105, complete genome FORWARD",0.9278853405827068
"KJ019136.1:157499-157594 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome FORWARD",0.9278265753544002
"KJ019156.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C2, complete genome FORWARD",0.912880694268951
"KM359505.1:189481-189576 Prochlorococcus phage P-TIM68, complete genome FORWARD",0.9340412252165959
"KP211958.1:175932-176025 Cyanophage P-TIM40, complete genome FORWARD",0.7914434228195965
"KU594606.1:183014-183111 Cyanophage S-RIM32 isolate RW_108_0702, complete genome FORWARD",0.8899809668769522
"KU686201.1:180677-180772 Synechococcus phage S-CAM4 isolate 0809SB33, complete genome FORWARD",0.8794101871321636
"KU686206.1:160385-160480 Synechococcus phage S-CAM9 isolate 1109NB16, complete genome FORWARD",0.9142152168343648
"KU686209.1:159627-159718 Synechococcus phage S-CAM22 isolate 1209TA19, complete genome FORWARD",0.8786823438665553
"KU686210.1:169171-169266 Synechococcus phage S-WAM1 isolate 0810PA09, complete genome FORWARD",0.8325961442624356
"MF351863.1:195680-195775 Synechococcus phage Bellamy, complete genome FORWARD",0.9042773645232932
"MH412654.1:c66840-66744 Synechococcus phage S-T4, complete genome FORWARD",0.8653294989765082
MH512890.1:168371-168467 Cyanophage S-TIM4 FORWARD,0.9218185398334566
"MH629685.1:79337-79432 Synechococcus virus S-PRM1, complete genome FORWARD",0.9264305100642407
"MK799832.1:176018-176111 Synechococcus phage S-B05, complete genome FORWARD",0.8920339544457984
"MK867354.2:137169-137262 Synechococcus phage S-SCSM1, complete genome FORWARD",1.0
"MN018232.1:c188281-188188 Synechococcus phage S-B43, complete genome FORWARD",0.939492321718979
"MW015081.1:207241-207338 Synechococcus phage S-SRM01, complete genome FORWARD",0.8802972392932333
"MW117965.1:14235-14331 Synechococcus phage S-H38, complete genome FORWARD",0.9003284561660266
"MW147367.1:121035-121131 Synechococcus phage S-H9-2, complete genome FORWARD",0.8921696781334315
"OP053362.1:7937-8033 Cyanophage S-TIM54, complete genome FORWARD",0.84018100281281
"OP917831.1:118682-118778 Synechococcus phage S-M1, complete genome FORWARD",0.8034620650789969
"OQ319121.1:c49325-49228 Synechococcus phage S-BM3, complete genome FORWARD",0.86800562512099
"OQ504979.1:26117-26211 Synechococcus phage S-8S29, complete genome FORWARD",0.9787484273737892
"OQ504980.1:125927-126021 Synechococcus phage S-MS29, complete genome FORWARD",0.93355632969456
"OQ504981.1:61922-62016 Synechococcus phage S-RS29, complete genome FORWARD",0.9316594977265444
"OQ504982.1:c63606-63510 Synechococcus phage S-8S53, partial genome FORWARD",0.8965250083181362
