seq1,seq2,similarity
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD",1.0
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","AACY023924099.1:c993-941 Marine metagenome ctg_1101668731450, whole genome shotgun sequence FORWARD",0.7238405273105982
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","AANO01000069.1:694-756 Synechococcus sp. WH 5701 1099465003518, whole genome shotgun sequence FORWARD",0.6685082815699823
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","AACY023938474.1:1158-1220 Marine metagenome ctg_1101668745825, whole genome shotgun sequence FORWARD",0.44097515231898193
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","CP000111.1:c1396332-1396270 Prochlorococcus marinus str. MIT 9312, complete genome FORWARD",0.8426845128411186
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","CP000095.2:c1035098-1035036 Prochlorococcus marinus str. NATL2A, complete genome FORWARD",0.408954813873465
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD",BX548175.1:1082118-1082175 Prochlorococcus marinus MIT9313 complete genome FORWARD,0.5464046926521356
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","CP000095.2:1536467-1536524 Prochlorococcus marinus str. NATL2A, complete genome FORWARD",0.5946214356508142
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","AACY021483025.1:393-449 Marine metagenome 1092963152033, whole genome shotgun sequence FORWARD",0.6069336658037057
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","AACY023852401.1:c427-367 Marine metagenome ctg_1101668659752, whole genome shotgun sequence FORWARD",0.5865217598009137
"AACY023602099.1:832-888 Marine metagenome ctg_1101668409450, whole genome shotgun sequence FORWARD","AACY022394159.1:235-290 Marine metagenome 1429668, whole genome shotgun sequence FORWARD",0.5726761315442258
