seq1,median_similarity
"AAAA02011059.1:c20497-20416 Oryza sativa Indica Group cultivar 93-11 chromosome 3 Ctg011059, whole genome shotgun sequence FORWARD",0.9363927261918513
"AAAA02020443.1:c198-99 Oryza sativa Indica Group cultivar 93-11 chromosome 6 Ctg020443, whole genome shotgun sequence FORWARD",0.9430638866613136
"AAAP01003574.1:1814-1929 Magnetospirillum magnetotacticum MS-1 Magn_3574, whole genome shotgun sequence FORWARD",0.8681105487809768
"AACV01021456.1:c15260-15139 Oryza sativa Japonica Group cultivar Nipponbare chromosome 10 Ctg021456, whole genome shotgun sequence FORWARD",0.8529024869969062
"AACY020150049.1:c2734-2667 Marine metagenome 1096626171529, whole genome shotgun sequence FORWARD",0.762788226203651
"AACY020226160.1:210-268 Marine metagenome 1096626804733, whole genome shotgun sequence FORWARD",0.6132954863805785
"AACY020346484.1:c116-5 Marine metagenome 1096626427654, whole genome shotgun sequence FORWARD",0.9193325220128161
"AACY020447591.1:c2625-2518 Marine metagenome 1096626592663, whole genome shotgun sequence FORWARD",0.8924154502814061
"AACY020741309.1:734-806 Marine metagenome 1092963519788, whole genome shotgun sequence FORWARD",0.8864267848896894
"AACY022975089.1:c331-241 Marine metagenome ctg_1101667382440, whole genome shotgun sequence FORWARD",0.9063467683918236
"AACY023426552.1:c759-700 Marine metagenome ctg_1101668233903, whole genome shotgun sequence FORWARD",0.8073865960683159
"AACY023623377.1:c287-246 Marine metagenome ctg_1101668430728, whole genome shotgun sequence FORWARD",0.1843983532219386
"AACY023717910.1:c1180-1101 Marine metagenome ctg_1101668525261, whole genome shotgun sequence FORWARD",0.912812762017529
"AACY023852401.1:c427-367 Marine metagenome ctg_1101668659752, whole genome shotgun sequence FORWARD",0.7344430189514644
"AADB02040854.1:117-168 Homo sapiens chromosome Un CRA_219000002151246, whole genome shotgun sequence FORWARD",0.1416360557239956
"AADD01036532.1:c25137-25097 Homo sapiens chromosome 3 WGSA:36531 contig 36531 scaffold 66, whole genome shotgun sequence FORWARD",0.2391964975452655
"AAFC03028536.1:14883-14999 Bos taurus breed Hereford Ctg11.CH240-243D7, whole genome shotgun sequence FORWARD",0.925892351237841
"AAFX01048275.1:188-258 Metagenome XZS78401.b1, whole genome shotgun sequence FORWARD",0.8641613959017228
"AAHX01111727.1:62311-62378 Rattus norvegicus strain BN chromosome X CRA_213000034415897, whole genome shotgun sequence FORWARD",0.6271676497387105
"AAJJ01000173.1:c48564-48466 Tribolium castaneum strain Georgia GA2 Con1665, whole genome shotgun sequence FORWARD",0.8842153827436874
"AAJV02000002.1:c284148-284048 Escherichia coli E22 gcontig_1112495653210, whole genome shotgun sequence FORWARD",0.8887769109939067
"AAKV01000050.1:c100479-100392 Pseudomonas aeruginosa C3719 cont1.50, whole genome shotgun sequence FORWARD",0.8806155415081695
"AANH01001932.1:c45985-45920 Gasterosteus aculeatus cont1.001931, whole genome shotgun sequence FORWARD",0.7916218356129618
