seq1,median_similarity
AM406670.1:2047607-2047675 Azoarcus olearius strain BH72 genome assembly FORWARD,0.7892301767893815
"AMXB01000020.1:48728-48796 Thauera sp. 27 Cont20, whole genome shotgun sequence FORWARD",0.8293889711306033
"AP012224.1:c537381-537314 Pseudogulbenkiania sp. NH8B DNA, complete genome FORWARD",0.8497535953513609
"AVPT01000029.1:c5900-5834 Lysobacter arseniciresistens ZS79 contig39, whole genome shotgun sequence FORWARD",0.4971950597862271
"BAFF01000008.1:c65031-64965 Atlantibacter hermannii NBRC 105704 NBRC 105704 DNA, contig: EH10570408, whole genome shotgun sequence FORWARD",0.618154618958701
"BX571965.1:c1336216-1336151 Burkholderia pseudomallei strain K96243, chromosome 1, complete sequence FORWARD",0.7594903258123338
"CAJQZC010000005.1:386583-386653 Paraburkholderia sp. LMG 31841 genome assembly, contig: 5, whole genome shotgun sequence FORWARD",0.7318008297810507
"CH482380.1:1157203-1157269 Burkholderia dolosa AU0158 supercont1.1 genomic scaffold, whole genome shotgun sequence FORWARD",0.8397297107505628
"CP000116.1:c2164637-2164570 Thiobacillus denitrificans ATCC 25259, complete genome FORWARD",0.7715692763450428
"CP014671.1:c819696-819630 Immundisolibacter cernigliae strain TR3.2, complete genome FORWARD",0.5922759253389466
"CP023439.1:c4560430-4560363 Thauera sp. K11 chromosome, complete genome FORWARD",0.6840437125198224
"CP028339.1:591626-591705 Thauera aromatica K172 chromosome, complete genome FORWARD",0.3172096999329212
"CP046913.1:c2378808-2378740 Paraburkholderia acidisoli strain DHF22 chromosome 1, complete sequence FORWARD",0.5461109617632476
"CP049156.1:c2771235-2771166 Caballeronia sp. SBC1 chromosome, complete genome FORWARD",0.682280044304398
CP054864.1:3032952-3033019 MAG: Dechloromonas sp. isolate SSB2 chromosome FORWARD,0.6588332400933942
"CP072793.1:c2243525-2243456 Thiothrix unzii strain A1 chromosome, complete genome FORWARD",0.5934377876499276
CR555306.1:463303-463371 Azoarcus aromaticum EbN1 complete genome FORWARD,0.761960530689274
CR555306.1:c130894-130826 Azoarcus aromaticum EbN1 complete genome FORWARD,0.7997738406955123
CR555306.1:c1597313-1597245 Azoarcus aromaticum EbN1 complete genome FORWARD,0.7576834732574195
CR555306.1:c800749-800681 Azoarcus aromaticum EbN1 complete genome FORWARD,0.7775751679205986
"DF970248.1:43898-43967 Mizugakiibacter sediminis DNA, contig: NODE_130, strain: skMP5, whole genome shotgun sequence FORWARD",0.5538706221066486
"FLQX01000101.1:c72131-72061 Candidatus Accumulibacter sp. S1 isolate 3 genome assembly, contig: ACCAA_Contig_26, whole genome shotgun sequence FORWARD",0.8787434676386398
"FLQX01000159.1:6095-6163 Candidatus Accumulibacter sp. S1 isolate 3 genome assembly, contig: ACCAA_Contig_79, whole genome shotgun sequence FORWARD",0.9000907362320063
